TaskType,PriTaskModality,TargetSize,TargetDestDistance,PathDir,PriTaskElapsed,RotTaskElapsed,NumbWrongDeselection,NumbPathExit,PathFirstSegExit,PathMidSegExit,PathLastSegExit,NumbMismatchRotTask,Time Stamp
1,GazeGesture,medium,40.000,down,2.398,9999.000,0,2,2,0,0,9999,10Sep / 2:33:32 PM
1,GazeGesture,medium,30.000,up,4.322,9999.000,0,2,1,1,0,9999,10Sep / 2:33:37 PM
1,GazeGesture,small,40.000,up,7.748,9999.000,0,7,4,2,1,9999,10Sep / 2:33:47 PM
1,GazeGesture,small,40.000,down,6.728,9999.000,0,7,0,2,5,9999,10Sep / 2:33:55 PM
1,GazeGesture,small,30.000,up,26.544,9999.000,6,17,14,2,1,9999,10Sep / 2:34:23 PM
1,GazeGesture,big,20.000,up,1.924,9999.000,0,0,0,0,0,9999,10Sep / 2:34:26 PM
1,GazeGesture,big,20.000,down,1.659,9999.000,0,1,0,1,0,9999,10Sep / 2:34:30 PM
1,GazeGesture,medium,30.000,down,2.299,9999.000,0,1,0,1,0,9999,10Sep / 2:34:33 PM
1,GazeGesture,medium,20.000,up,1.917,9999.000,0,1,0,1,0,9999,10Sep / 2:34:37 PM
2,GazeGesture,big,40.000,up,50.044,1.602,0,2,0,2,0,0,10Sep / 2:36:12 PM
2,GazeGesture,big,40.000,down,3.274,0.728,0,2,1,1,0,0,10Sep / 2:36:17 PM
2,GazeGesture,big,30.000,up,3.313,0.779,0,0,0,0,0,0,10Sep / 2:36:22 PM
2,GazeGesture,big,30.000,down,10.786,6.156,1,7,3,4,0,0,10Sep / 2:36:34 PM
2,GazeGesture,medium,30.000,down,16.497,12.421,2,2,1,1,0,0,10Sep / 2:36:52 PM
2,GazeGesture,medium,20.000,up,6.633,6.338,1,8,7,1,0,0,10Sep / 2:37:02 PM
2,GazeGesture,medium,20.000,down,9.520,2.522,0,0,0,0,0,0,10Sep / 2:37:13 PM
2,GazeGesture,small,40.000,up,6.265,6.634,0,16,2,14,0,0,10Sep / 2:37:22 PM
2,GazeGesture,small,40.000,down,6.318,1.586,0,14,4,7,3,0,10Sep / 2:37:30 PM
2,GazeGesture,small,30.000,up,9.522,2.426,0,5,2,3,0,0,10Sep / 2:37:42 PM
2,GazeGesture,big,20.000,up,48.067,3.527,0,0,0,0,0,0,10Sep / 3:03:09 PM
2,GazeGesture,big,20.000,down,4.629,2.158,0,4,3,1,0,1,10Sep / 3:03:15 PM
2,GazeGesture,small,40.000,up,5.616,6.663,1,10,2,8,0,0,10Sep / 3:03:25 PM
2,GazeGesture,small,40.000,down,24.117,20.032,1,6,1,2,3,0,10Sep / 3:05:02 PM
2,GazeGesture,small,30.000,up,9.658,1.806,0,4,0,2,2,0,10Sep / 3:05:13 PM
2,GazeGesture,medium,40.000,up,5.084,1.589,0,1,0,1,0,0,10Sep / 3:05:20 PM
2,GazeGesture,medium,40.000,down,4.731,2.319,0,5,3,2,0,0,10Sep / 3:05:26 PM
2,GazeGesture,medium,30.000,up,4.586,1.738,0,0,0,0,0,0,10Sep / 3:05:32 PM
2,GazeGesture,big,40.000,up,6.292,24.314,0,1,1,0,0,0,10Sep / 3:06:00 PM
2,GazeGesture,big,40.000,down,4.533,1.551,0,3,2,1,0,0,10Sep / 3:06:06 PM
2,GazeGesture,big,30.000,up,3.978,1.687,0,1,0,1,0,0,10Sep / 3:06:11 PM
2,GazeGesture,big,30.000,down,3.539,1.231,0,3,0,3,0,0,10Sep / 3:06:16 PM
2,GazeGesture,small,30.000,down,4.213,1.665,0,4,0,3,1,0,10Sep / 3:06:22 PM
2,GazeGesture,small,20.000,up,25.550,1.437,0,5,2,3,0,0,10Sep / 3:06:49 PM
2,GazeGesture,small,20.000,down,4.256,1.404,0,1,1,0,0,0,10Sep / 3:06:55 PM
2,GazeGesture,medium,30.000,down,6.926,2.744,1,1,0,1,0,0,10Sep / 3:07:03 PM
2,GazeGesture,medium,20.000,up,4.498,2.003,0,0,0,0,0,0,10Sep / 3:07:10 PM
2,GazeGesture,medium,20.000,down,2.980,1.189,0,2,2,0,0,0,10Sep / 3:07:15 PM
2,GazeGesture,medium,30.000,down,3.813,1.865,0,2,0,2,0,0,10Sep / 3:07:20 PM
2,GazeGesture,medium,20.000,up,3.154,1.230,0,0,0,0,0,0,10Sep / 3:07:25 PM
2,GazeGesture,medium,20.000,down,2.843,0.951,0,1,0,1,0,0,10Sep / 3:07:29 PM
2,GazeGesture,big,20.000,up,2.346,0.925,0,0,0,0,0,0,10Sep / 3:07:33 PM
2,GazeGesture,big,20.000,down,3.382,1.114,0,0,0,0,0,0,10Sep / 3:07:38 PM
2,GazeGesture,small,40.000,up,100.200,27.553,0,14,7,7,0,0,10Sep / 3:26:34 PM
2,GazeGesture,small,40.000,down,3.981,3.940,0,7,0,7,0,0,10Sep / 3:26:41 PM
2,GazeGesture,small,30.000,up,4.001,4.087,0,2,0,1,1,0,10Sep / 3:26:47 PM
2,GazeGesture,medium,40.000,up,5.933,1.985,0,0,0,0,0,0,10Sep / 3:26:55 PM
2,GazeGesture,medium,40.000,down,3.647,1.870,0,3,1,2,0,0,10Sep / 3:27:00 PM
2,GazeGesture,medium,30.000,up,3.198,1.209,0,0,0,0,0,0,10Sep / 3:27:05 PM
2,GazeGesture,big,40.000,up,8.222,8.876,0,0,0,0,0,1,10Sep / 3:27:20 PM
2,GazeGesture,big,40.000,down,2.788,5.037,0,4,0,4,0,3,10Sep / 3:27:27 PM
2,GazeGesture,small,30.000,down,12.674,3.277,0,3,0,3,0,0,10Sep / 3:27:43 PM
2,GazeGesture,small,20.000,up,2.812,2.472,0,3,0,3,0,0,10Sep / 3:27:48 PM
2,GazeGesture,small,20.000,down,4.021,1.428,0,6,0,6,0,0,10Sep / 3:27:54 PM
2,GazeGesture,big,30.000,up,3.573,1.000,0,0,0,0,0,0,10Sep / 3:27:59 PM
